fermi level
znin2s4 g c3n4
response ability
exhibits excellent photocatalytic activity
metal doped graphitic carbon nitride
excellent visible light driven photocatalytic
generation of reactive species
much attention
good electrical conductivity
delta g
the pseudo first order kinetic
degradation of rhodamine b dye
photo fenton system
the effective transfer and separation of
separation rate of photogenerated
g cns
exhibit much higher photocatalytic activity
showing excellent
major role
conversion of co2
degradation of 2,4
efficiency of photo generated
p n heterostructure
high fluorescence
with urea and
to investigate
zno sensor
dark field
catalyst concentration
of boron and
efficient separation of photogenerated electron hole
removal of mb
ternary plasmonic
successfully doped
between ag3po4 and
between wo3 and
recently emerged
inverse opal g c3n4
stability and good
hydroxyl and superoxide
simple pyrolysis
employed to study
g c3n4 nanbo3 nf
range of light absorption
this research
enhanced photocatalytic h 2 evolution
cds @ g c3n4
removal of toxic
pt based
assigned to
photodegradation of rhb
facile one step
simple solvothermal method
novel z scheme
highest h 2 evolution rate
in comparison to
to treat
design and synthesize
cn photocatalyst
noble metal co catalyst
enzymatic and chemical
including graphene
photocatalytic h 2 production performance
an effective approach
3 wt pt
interfacial interactions between
selective detection of
pan @
zno g c3n4
of wo3 and
still maintained
applications in photocatalysis
these results demonstrate
method to synthesize
fluorescent carbon nitride
efficient and low cost
cds au g c3n4
zro2 g c3n4
present strategy
enhanced catalytic performance
in aqueous media
c3n4 and lafeo3
tio2 kaolinite
photo induced electrons and holes
a facile solvothermal method
relatively low
iii collagen
agnps @
relative to
carbon nitride support
210 min
ti3 + self doped tio2
efficient g c3n4 based
much better
structure engineering
embedded graphitic carbon
under optimized conditions
c3n4 nanocomposite
pani g c3n4
photocatalytic response
samples showed
under solar light
h 2 production from water splitting
obtained composite
decorated porous
electron transfer from g c3n4 to
moo3 and g c3n4
effective electron
cnbr digests of
functional properties
nitrogen containing
fabrication of hierarchical
cn exhibits
co monomer
cu g c3n4
a facile impregnation
the physical and photophysical properties of
from uv to
fe doped g c3n4 nanosheets
enhancement of photocatalytic activity
different precursors
storage material
transfer mode
c3n4 and fe2o3
oxide graphitic carbon nitride
almost complete
a method to
@ mno2
most likely
assisted pulsed
recombination of photoinduced
facile and scalable
composite structure
photocatalytic hydrogen evolution under visible light
solution under visible light irradiation
protection performance
separation and transmission
under conditions of
induced charge carrier
two step thermal treatment
and morphologies of
ceo2 composite
fabricated via
efficient charge
specific interaction
gap and high
cds heterojunction
μmol g 1
spectrometry analysis
photo excited electron
synergistic catalytic
tio2 and g
higher photo
supported metal
work functions
facile one pot
100 ppm
metal nitride
nanocomposites with enhanced photocatalytic activity
atom catalysts
effective separation of photogenerated
electrocatalytic activity toward
agvo3 g c3n4
il 1
99 selectivity
reported so far
pt cds
in situ decoration
selective sensing
efficiency of photogenerated electron hole
this study highlights
photocatalyst for hydrogen production
activation of plasminogen
light assisted
metal free photocatalysis
almost completely
prepared by calcining
degradation of mb
nano material
this context
porous ultrathin g c3n4 nanosheets
inse g c3n4
real water
from 2 to
while maintaining
five cycle
efficient electrochemical
optimal g c3n4 content
at ambient conditions
high performance g c3n4 based
type heterojunction
under natural sunlight
s gc3n4
g c3n4 @ zno
uv vis light irradiation
under uv light
full advantage of
contributing to
native enzyme
supported on mesoporous graphitic carbon
to enhance
co doped graphitic carbon nitride
triton x
transfer of photogenerated electrons and holes
lifetime of photogenerated charge
alpha bi2o3 g c3n4
an attractive
associated protein
g c3n4 @ ppy
low recombination
more exposed active sites
charge carriers in g
light range
degree of homology
synthesis and photocatalytic activity of
membrane surface
cu2o composite
under uv
nano materials
correlations between
pda g c3n4
order model
but also
visible light induced photocatalytic activity
cds @ au g c3n4
activity and good
degradation and hydrogen production
n 2
h 2 evolution and co2
process involving
feasible strategy
s layer
high angle
zns @ g c3n4
li o 2
efficiency of photogenerated carriers
carbon nitride compound
cds g c3n4 nanocomposites
in situ ion exchange
exhibited much higher
efficient degradation of organic
fe2o3 g c3n4 composites
much faster
pd g c3n4
h of irradiation
g c3n4 and ceo2
heterojunction exhibited
transmission electron microscopy images
sensing approach
based cocatalyst
c3n4 tio2 heterojunction
as large as
pure carbon nitride
treatment strategy
degradation activities
enhancement of visible light absorption
catalytic conversion
20 mg l
pollutants in wastewater
effect of ph
exchange method
removal of organic dyes
photoelectrocatalytic degradation
this study demonstrates
graphitic carbon nitride nanocomposites
of alcohols to
ten times
intimate interfacial contact between
first order
at neutral ph
a facile hydrothermal
energy loss spectroscopy
functionalized g c3n4
most important
efficiently enhanced
valence band x ray photoelectron spectroscopy
titanium dioxide graphitic carbon nitride
exhibited enhanced photocatalytic
fabricated nanocomposite
n rgo
g c3n4 and bivo4
n terminal sequences
improved electron hole separation
no detectable
high efficiency and low cost
of go and
nearly 100
h 2 generation rate
au g c3n4 nanocomposites
for energy and
cn bi
1.9 times
prepared by mixing
sensitive detection of
ldh cn
wo3 and g c3n4
controlled synthesis of
the main active species
prepared through
combined with
metal free heterojunction
improved efficiency
no removal ratio
good repeatability
cds rgo
sheet like structure
aerobic oxidation
a promising strategy
electrochemical sensor based on
oxidation of benzyl
n c ratio
enhanced fluorescence
lower charge
exhibits efficient
c3n4 and au
3.0 wt
successful fabrication of
cn exhibited
tf g c3n4
production from water splitting
exceptional photocatalytic
go sheets
s triazine rings
c3n4 bi4nbo8cl
stronger visible
carbon nitride phase
between g c3n4 and
much lower
heterojunction nanosheets
k co doped
structural modification
loaded g c3n4 nanosheets
for efficient visible light photocatalytic
center dot radicals
synthesis of ordered mesoporous
utilization of solar
w led
deduced from
phase carbonitride
the sensitivity and
semiconductor metal
porous g c3n4 graphene
photocatalytic reduction and oxidation
thin g c3n4 nanosheets
application in environmental
the as synthesized
superior electrocatalytic
n terminal region
mesoporous graphitic carbon
large surface
visible light catalytic activity
codoped g c3n4
high efficiency visible light driven
prepared from urea
up conversion
metal free material
zno fe2o3
used to prepare
c3n4 @ tio2
ultrathin structure
at ambient temperature
porous n doped carbon
automated sequence
@ cnns
novel visible light induced
synthesis of crystalline
c3n4 quantum dots
did not affect
conversion systems
an overview
water into hydrogen
carbon nitride catalyst
cn au
c3n4 layer
cu2o g c3n4
selective conversion
an eco friendly
increasing environmental
0.8 v
evaluated by degrading rhodamine b
tio2 @ g c3n4
cain2s4 g c3n4
o 3
angstrom and c
zno based
enhancing effect
codoped carbon
obtained composites
fabricated by
o co doped
sensitive method
an ingenious
o 2 evolution
strategy to construct
filter membrane shaped photocatalyst for
ns g c3n4
exhibited enhanced photocatalytic performance
stable and recyclable
measurements reveal
g c3n4 composite
c n phase
much lower than
2 azido
facile bottom up
metal single atom
five times
general method
rich carbon
au @ g c3n4
mcn 4
light spectrum
enhanced visible light activity
one step fabrication
very challenging
n pi * electronic
immobilized on
mw cm 2
smaller particle
g c3n4 pdi
an electron mediator
beta subunits
over bar
c n thin films
ag @
batteries lithium
n 2 molecules
peptides obtained
direct z scheme system
unmodified g c3n4
that of pure g c3n4
key factor
method to prepare
single amino acid
depended on
for enhanced photocatalytic hydrogen production
different water matrices
that of bulk g c3n4
fe ni
two dimensional nanomaterials
cb of g c3n4
alkaline hydrothermal
insufficient visible
assisted synthesis of
transfer of electrons
three phase
to remove
400 cycles
facile calcination method
short time
showed enhanced
ag +
dots on g c3n4 nanosheets
shows superior photocatalytic
generation of hydrogen
simply synthesized
ph =
smaller than
five consecutive
efficient catalytic
easily prepared
agcl ag g c3n4
self assembly process
including x ray diffraction
compared with bulk g c3n4
hydroxide solution
wo3 and g
prepared ternary
ag doped
an alternative
polymer based
single polypeptide chain of
characterized by scanning
the major active species
degradation of orange
eosin y sensitized g c3n4
light driven hydrogen generation
based composite
efficient oxygen reduction reaction
a possible mechanism
cost effective method
also discussed
fe3o4 @ g c3n4
that of pristine g c3n4
simple one step calcination
larger specific surface
hydrogen production reaction
studied in detail
a facile and cost
investigated by x ray diffraction
maximum degradation
photocatalytic reduction of u
superior adsorption
treatment of melamine
maximum value of
remarkable enhancement of photocatalytic
good to excellent yields
pda @
different g c3n4 contents
graphitic structure
driven photocatalytic degradation
superior photodegradation
superior charge separation
driven photocatalysis
controlled synthesis
3 wt
under sunlight irradiation
efficient photogenerated
successfully fabricated by
electron spectroscopy
an intelligent
k doped g c3n4
exhibited excellent photocatalytic
doping effects
two major
this work reports
sensor based on
efficient photocatalytic degradation
decorated carbon nitride
increased specific surface
structure and optical property
larger than
the presence of
doped ultrathin
displays high
for efficient hydrogen evolution
participated in
under hydrothermal conditions
photodegradation of rhodamine b
in acidic media
bottom up approach
evolution activities
sno2 g c3n4
g c3n4 ns rgo
charge transfer across
effective approach
au @ cn
fe2o3 @
lacoo3 g c3n4
simple one step pyrolysis
under uv vis light
excellent visible light driven
spectra analysis
optimum mass ratio of
photocatalyst with enhanced visible light
nimoo4 g c3n4
enhanced photocatalytic h 2 evolution activity
n defects
method using urea
morphology and optical property
a promising approach
doped porous g c3n4 nanosheets
selective photocatalytic oxidation of
@ uio 66
μmol g
range of 0.05
ca2 + calmodulin
a microwave assisted hydrothermal
results illustrated
i t
v2o5 g c3n4
optimized composite
successfully fabricated via
g c3n4 composites
carbon nitride synthesis
exhibited significantly
n bonds
of rhb and
heterojunctions exhibited
b cn
the type c1 c2
nitride nanostructures
carbon nitride precursor
sio2 @ g c3n4
high activity and stability
45 min
structure model
g c3n4 srtio3
carbon nitride photocatalyst
extended optical
good reusability and stability
narrow band
side reactions
photocatalytic dye
rely on
efficient separation of photo generated
surface structure
transfer of photogenerated carriers
modified cds
1.5 times
@ mpg c3n4
high initial
two electron
ceo2 g c3n4
biocl g c3n4
200 mg l
amorphous tio2
efficient water splitting
formation of heterojunctions between
c3n4 and p25
films deposited on
g c3n4 biobr
abundant porous
photocatalytic decomposition
each component
nitride based materials
recombination of electrons and holes
for highly efficient photocatalytic
photo electron
bifeo3 and g c3n4
performance lithium sulfur
highly efficient visible light
fenton system
capable of
this review article
photocatalytic h 2 production rate
layered graphitic
broadened visible
@ g c3n4 core shell
atp g c3n4
10 ng ml
microwave hydrothermal
ag3po4 heterojunction
s 1
reduction of 4 np
conversion of co2 into
catalyst shows
enhanced visible light driven photocatalysis
edge x ray absorption
template free synthesis of
modified porous g c3n4
an attempt
c3n4 rgo composite
solar water
results obtained
driven hydrogen evolution
fabricated photocatalysts
synergy between
2 chlorophenol
g c3n4 sno2 composites
of reactants and
between photocatalysis and
graphitic c3n4 based
characterized using xrd
nanoparticles supported on graphitic carbon
800 degrees c
higher light absorption
visible near infrared light
an outstanding
cus g c3n4
prepared by thermal
high efficient visible
10 fold
new sight
significant role
low cost photocatalyst
linear relationship between
nio g c3n4
based heterojunction photocatalysts
edge potentials
of rhb under
at 298 k
into account
doped titanium
n tio2
degradation of tc
0.2
modified graphitic
n cns
uniformly distributed on
threat to
coupled with
cn composites
o gc3n4
fold higher photocatalytic
sandwiched between
corresponding h 2 evolution rate
calcined at
degradation of 4 chlorophenol
excellent visible light absorption
beta carbon nitride
hydrogen production under visible light irradiation
high potential
highly efficient visible light driven photocatalytic
doped graphitic carbon nitride with enhanced
simple and green
promising pathway
beta bi2o3 and g c3n4
decorated g c3n4
graphitic carbon nitride materials
g c3n4 sns2 composites
ph 5
of two dimensional g
degradation efficiency of rhb
holes transfer
mainly attributed to
highest catalytic
confirmed by
power conversion
separation and transfer of photogenerated
ag 0
low content
photocatalytic degradation of mo
two step hydrothermal method
carbon nitride formation
2.1 times
n 2 atmosphere
decomposition of rhodamine
photocatalyst for hydrogen evolution
selective photo
cds nanocomposites
surface analysis
highly efficient g c3n4 based photocatalysts
spectroscopy revealed
exhibited high photocatalytic
high specific capacity
storage applications
solar h 2 production
gas production
ni p
heterogeneous photocatalytic
electron structure
introduced into
0.5 g l
tem analysis
fabrication of
c3n4 based photocatalysts
great potential application
based on resonance energy transfer
the amino terminal region
mno2 and g c3n4
after five cycles
microwave assisted synthesis of
1.8 times higher
any sacrificial agent
g c3n4 wo3 composite
nitride nanosheet
significantly enhanced performance
c3n4 nanolayers
great importance
significant influence on
interface contact between
promoting effect
n 15
pure cn
h 2 evolution activity
deposition carbon nitride thin films
most promising strategies
qds @ g c3n4
co3o4 @ g c3n4
enhanced electrochemical
light absorption and fast
bioi and g c3n4
1.6 times
composites exhibit higher
revealed in depth
co2 n 2
biochemical characterization of
o cn
green synthesis of
helical domain
p doped g c3n4
cn photocatalysts
melamine as precursor
recent progress on
a case study
beta cd g c3n4
2d layered
simulated visible light
gcn nrs
a glassy carbon electrode
pt quantum dots
excellent hydrogen evolution
more efficient
light capture
strategy for constructing
g c3n4 and zno
compared to conventional
covalently attached to
in situ synthesis
oxidation of water
the dominant active species
maintained high
n cds
grown on
g c3n4 tio2
improved charge
four consecutive
applied to
alpha amino
colorimetric detection of
methanol fuel cells
the double z
range of 0
exhibit excellent photocatalytic
simple approach
bivo4 and g c3n4
a facile method
performance under visible light irradiation
construction of heterojunctions
10 kda
strongly dependent on
c c bond
hydrogen evolution under visible light
bipo4 and g c3n4
for efficient oxygen reduction reaction
cn sheets
g c3n4 and pd
exfoliation of bulk g c3n4
no purification
order kinetic constant of
nanosheet composites
separation of photoexcited
induced charges
h 2 evolution kinetics
photocatalytic activity for tetracycline
much higher activity than
transfer of photogenerated electron
this purpose
at ph
nuclear magnetic
efficient separation of photoinduced
mesoporous tio2
in situ growth strategy
reacts with
u cn
10 nm
more effective
the field of photocatalysis
bi2moo6 and g c3n4
outstanding visible light
wide ph
efficient visible light active
interacts with
direct conversion
beyond graphene
a novel
nanosheet photocatalysts
chain variable
as prepared samples
modified mesoporous
g c3n4 and wo3
well controlled
based electrode
c3n4 pd
ag3po4 g c3n4 composite
graphene carbon nitride
degradation rate of rhb
c3n4 materials
z type heterojunction
multiple active
e 1 2
synergetic effect between
after 10 000 cycles
3d 2d
rgo g c3n4
c3n4 catalysts
the rate determining step
enhanced solar light
centered at
core shell nanoparticles
20 fold
heterojunction nanocomposite
synergetic effects between
l 1
core shell nanocomposites
doped zno
used to analyze
inner filter
pure bivo4
one step synthesis
two distinct
50 nm
for efficient photocatalytic hydrogen production
degradation of toxic
an average
spectroscopy confirmed
this study reports
photocatalytic activity and mechanism
rapid transfer
conversion of solar energy
such as
g c3n4 cds nanocomposite
bi12tio20 g c3n4
of water to
photocatalyst displays
c3n4 photocatalysts
functioned as
zns composite
two step calcination method
c h bond
characterization techniques including
0.5
photocatalytic studies
g c3n4 based
enhancement in photocatalytic activity
potential for practical
ag bi2wo6
two chain
strategy for improving
prepared from bulk
enhanced photocatalytic reduction of co2
high efficiency photocatalyst
rate reached
transfer of electron hole pairs
uniformly anchored on
electrochemiluminescence biosensor for
photocatalytic experiment
z scheme g c3n4 ag
this study presents
under identical conditions
doped titanium dioxide
znfe2o4 g c3n4
sulfur doped g c3n4 nanosheets
with enhanced photocatalytic performance
high value added
graphitic carbon nitride polymer
enhanced stability
competition between
rich graphitic carbon nitride
g c3n4 cds heterojunction
fluorescent sensor for
an important
cn heterojunction
recombination of electron hole
pd rgo
formed between
ablation of graphite
oxygen doped graphitic carbon
analyzed by x ray diffraction
transport property
more than
chosen as
successfully loaded on
previous work
these results
phenol under visible light irradiation
commercial pt
pcn heterojunction
foundation for
polymerization approach
of great significance
interfacial contact between
bi c3n4
removal of methylene blue
study provided
possible z scheme mechanism
reduction mechanism
fe3 + doped
highly efficient solar
with enhanced visible light photoactivity
detection of hydrogen peroxide
nanocomposite consisting
generated electron hole pairs
high recombination rate
ring structure
chemical conversion
photocatalytic reduction of aqueous
of electrons in
g c3n4 tnas
ozonation activity
enhanced photoelectric
immobilized onto
facile one step hydrothermal
transmission electronic
applications of graphitic carbon nitride
b rgo
trapping and electron spin resonance
lifetime of photoexcited
fine structure
the prepared catalysts
boosted visible light
response region
g c3n4 based photocatalysts
c3n4 sample exhibited
sm 2
absorption measurements
prepared by heating
grown in situ on
au c3n4
an indirect band gap
synthesis and enhanced visible
driven photoactivity
enhanced visible light photocatalytic activity toward
photocurrent and electrochemical impedance
synthesized from urea
most common
based metal organic
crystalline g c3n4
a new paradigm
by low energy nitrogen
carbon nitride decorated
carbon nanospheres
agcl nanoparticles
facile method
holes separation
matched energy
successful synthesis
c3n4 qds
synergistic removal of
good crystallinity
2015 elsevier
effect of adsorption and
participate in
residues at positions
co mof
recent developments in
g c3n4 based nanocomposites
sonochemical synthesis of
1.0 nm
an efficient visible light photocatalyst
co oxidation
superior visible
c3n4 based hybrid
more positive
the selective oxidation of benzyl
lanio3 g c3n4
pt @
c and n atoms
employed to construct
surface sites
synthesis of porous
p atoms
g c3n4 bioi
sustainable production of
ag @ g c3n4
for highly efficient photocatalytic hydrogen evolution
pd catalysts
intimate interface between
under sunlight
light activation
carbon nitride hybrid
transfer of photogenerated charge
time dependent
electrocatalysts for oxygen reduction
supported fe
graphene oxide nanosheets
compared with individual
obviously decreased
high sensitivity and selectivity
photocatalysts with enhanced
graphitic carbon nitride powder
induced polymerization
holds great promise for
c3n4 tio2 heterojunctions
visible light driven activity
that of bare
performance in comparison
band potential
characterization results indicated
z =
mpg c3n4 tio2
fluorescent probe for
g c3n4 sno2
n x active sites
g c3n4 nanocomposites
an optimum
significantly higher than
nanotube composite
at low temperature
enhanced ecl
class of materials
role in determining
g c3n4 and lafeo3
chemical interactions
g c3n4 @ uio 66
significantly enhanced visible light
nv g c3n4
mv dec 1
2d g c3n4
intimate contact between
synthesis and high
material involves
treated g c3n4
followed pseudo first order
an important factor
light absorption and improved charge
water splitting photocatalyst
porous graphene like
0.1 mol l
c3n4 biocl
g c3n4 and bi2moo6
u g c3n4
electrocatalytic activity towards
these observations
applied to synthesize
h2 production rate of
improvement in photocatalytic activity
an optimal
step method
photocatalytic organic pollutant
x ray diffraction analysis
g c3n4 bi5o7i
c3n4 matrix
4.3 times
300 k
taking advantage of
emerged as promising
resulted from
amino acid sequence analysis of
in situ growth
10 000 cycles
f biobr
high efficient photocatalytic
a new
higher activities
c termini
methods including
facile construction of
the sum of
beneficial for
c 13
contact surface
design of low cost
rhb removal
excellent thermal
hierarchical carbon
nitrogen containing carbon
photocatalytic redox
n terminal amino acid
synthesized photocatalyst
and n in
template approach
structural and chemical
the main active
catalytic system
structural changes
z scheme mos2
the porosity and
n b rgo
occupied molecular
resulting in
o doping
@ go
composites presented
6 fold
sensitized g c3n4
zno composites
bi2o3 composites
adsorption of pollutants
removal of pollutants
s doped g c3n4
analyzed by
a simple wet chemical
separation of photogenerated
cl cn
the entire
did not change
c dot
evaluated by degradation of methylene blue
tio2 nanospheres
heterojunction films
t cells
h2 evolution rate of
local structure
extracted from
light radiation
great potential application in
with highly efficient photocatalytic activity
2018 published by elsevier b.v
c3n4 heterostructure
enhanced absorption of visible light
very little
@ mcn
high conversion
balance between
characterized by sem
as much as
pcn tio2
two steps
g c3n4 ag3po4
c3n4 and bi2moo6
oxidative degradation
many advantages
well known
long time
efficient heterogeneous catalyst
magnetic carbon
and separation in
pd ag
high charge carrier
aiming at
photoelectrochemical immunosensor for
co modified
flower like structure
separation and migration efficiency
exfoliation of g c3n4
15 min
degraded within
agx g c3n4
photodegradation of pollutants
g c3n4 nio
capacitance retention after
photoreduction performance
the basis of
an in situ
the same time
the resultant
c3n4 bi2wo6
the enhanced photocatalytic activity
c n
and transmission of
g c3n4 biocl
containing wastewater
even after
carbon doped g c3n4
high specific surface
graphitic carbon nitride reduced graphene oxide
upon visible light irradiation
compared with single
g c3n4 rgo
4 nitrophenol reduction
demonstrated by photoluminescence
s bet
reduced graphene
o bond
for photocatalytic hydrogen evolution
1000 cycles
structure design
under high pressure
excellent photoelectrochemical
graphene composites
to detect
2 o 4
co p c3n4
detection based on
considered as
thermal reaction
co existing
single pt
low cost and high performance
followed by calcination
transfer of photogenerated electrons
oxygen doped g c3n4
g c3n4 bi2wo6
to generate hydrogen
cu2o @
spectroscopy studies
conversion process
75 min
one step thermal polymerization
photocatalytic water splitting to produce
carbon nitride composite
s atoms
ox g c3n4
tio2 g c3n4 heterojunction
thereby enhancing
mesoporous cn
peptides derived
subunit contains
inspiration for
mmol l 1
the as prepared samples
7 wt
0.5 wt pt
d band
exhibited much higher photocatalytic activity
highly efficient photocatalytic performance
obviously improved
cu al
modified graphite
within 20 min
16 fold
much stronger
impedance spectra
g c3n4 r tio2
facile two step
doped carbon quantum dots
drs analysis
heterojunction for enhanced visible light
1.8 times
of p and
g c3n4 @ rgo
cn u
two types of
carbon electrode
bi2moo6 g c3n4
g c3n4 natao3
this work provides
remediation of organic
indicative of
a promising metal free photocatalyst
attracted much attention because
n epsilon
c3n4 ag3vo4
to modify
carbon nitride based materials
photocatalytic decomposition of
good to excellent
prepared and used
150 degrees c
most importantly
turn on
evolution rate of
condensation of urea
shows higher
high apparent
nanosheet materials
exhibits improved
3.4 times
30 kda
immunosensor based on
fe n x
papp a
200 cycles
co2 +
g c3n4 agbr
photocatalytic performance of graphitic carbon nitride
determine whether
light driven hydrogen production
exhibits great
metal free catalyst for
2d 2d heterostructured
materials for environmental remediation
@ g cn
surface redox
primary structure of
visible light photocatalytic efficiency
thus significantly improving
t s
stability and high
tio2 nanocomposites
no significant
comparable to
b beta
harvesting capacity
at ph 7
deals with
tio2 g c3n4 nanocomposite
layered g c3n4 nanosheets
5 fold
high photocatalytic
n doping
efficient separation of electron hole
relatively high
higher separation efficiency
application in environmental remediation
mainly ascribed to
g c3n4 @ tio2
20 30 nm
protein kinase c
proposed based on
supported on
a variety of
determined by
exhibits remarkably
n doped zno
in order to improve
g c3n4 kaolinite composite
to build
25 nm
nanocomposite based
pollutants under visible light
associated with
for highly improved photocatalytic
g c3n4 cus
compared with traditional
much higher photocatalytic activities
oxidized g c3n4
photocatalysts for hydrogen production
emerged as
times without significant
activity under visible light irradiation
carbon nitride sheet
photoreduction of co2 to co
inspired by
snin4s8 g c3n4
energy and environmental
enhanced photocatalytic hydrogen production activity
of photocatalysis for
adsorbed onto
fe g c3n4
a novel ternary
excellent water
human blood
monolayer g c3n4
react with
3d architecture
bi2wo6 @ g c3n4
good cycling stability
5.8 times
an environmentally friendly
range from 0.1
g c3n4 sheet
g c3n4 zno
approach to synthesize
c3n4 based catalysts
efficient separation of photogenerated
modified g c3 n4
excellent performance for photocatalytic
exhibited optimal
benefited from
the absence of
presence of
wo3 composites
a large specific surface area
triazine structure
of g c3n4
g c3n4 sio2
to replace
4 wt
most stable
function analysis
co2p g c3n4
c3n4 zn
distance of photogenerated
agbr g c3n4
graphitic carbon nitride composites
2d g c3n4 nanosheets
composites exhibited excellent photocatalytic
20 nm
photocatalytic oxidation activity
an external magnetic field
exhibited enhanced visible light
energy dispersive analysis
by microwave plasma chemical vapor deposition
with high visible light activity
several hundred
n bond
prepared by simple
nitride nanocrystals
pcn go
embedded graphitic carbon nitride
zno photocatalyst
n atom
graphene like c3n4
photocatalyst for degrading
carbon nano
synthesis of ordered
an electrochemical sensor
within 180 min
heterojunction shows
mnfe2o4 g c3n4
separation of photo induced charge
thus achieving
novel and facile
cn nanosheet
prior to
these peptides
even after five cycles
dual z scheme system
rate of photogenerated carriers
gel method
properties of carbon nitride films
catalysts showed
enhancing photocatalytic hydrogen
direct z scheme photocatalyst
c axis
characterization results show
increased surface
5.1 times
pd @
p 450
light absorption and charge separation
sensitive and selective detection
cdots g c3n4
cu c3n4
structure performance
more than 90
b atoms
pristine tio2
attention because of
increasing interest
ceo2 @
exchange membrane
an emerging
more favorable
g c3n4 bi4nbo8cl
carbon nitride nanodots
efficient oxygen reduction
those of pure
2.8 times
polymer photocatalysts
n pi *
verified by
indistinguishable from
transfer mediator
90 min
cufe2o4 g c3n4
metal free carbon
tafel slope of
ag tio2 x
grafted g c3n4
g c3n4 tio2 heterostructure
best catalytic performance
o bridged
in situ electron paramagnetic resonance
the photocatalytic process
self cleaning performance
enhanced raman scattering
a new way
spectrum response
supported on mesoporous
loaded g c3n4
increased photocatalytic performance
g c3n4 nanofibers
synergetic effect of
p n
single cu
the pseudo second
hydrogen evolution graphitic carbon
heterojunction material
reduction approach
close to
bivo4 composite
cu pd
at elevated temperatures
demonstrates high
oxygen adsorption
c3n4 bi2s3
at ambient pressure
improved photo
efficient electrocatalytic
p g c3n4
f g
compared with pristine g c3n4
z scheme photocatalyst with enhanced
p n type
composite exhibited excellent
doped tin
g c3n4 cnt composite
carbide nanoparticles
5 nm
1 34
prepared by calcination
cds photocatalyst
a simple method
heterojunctions with enhanced photocatalytic
into solar fuels
agbr @
300 cycles
one pot preparation
structural basis for
adsorption of cr
rational design of
p doping
attached to
for solar fuel production
obtained catalyst
a facile approach
formed in situ
obviously enhanced
a new strategy
20 ppm
strategy to boost
highly dependent on
o 2 activation
0.1 m koh
the main
current density of 0.5
all solid state z scheme heterojunction
4 na
related to
m gcn
bifeo3 g c3n4
light driven water splitting
cds modified
4 fold
fold increase in
wo3 @ g c3n4
graphite c3n4
10 20 nm
displayed higher
active and stable
the catalytic subunit
various analytical techniques
ph 7
contaminants in water
transport efficiency
c doped tio2
upon exposure to
driven photocatalytic
c3n4 and ceo2
p g c3n4 nss
two electron reduction
number of
significant interest
the optimal sample
incorporation into
cu +
after incubation
at 1.23 v versus
zno g c3n4 photocatalyst
obtained by
photofixation performance
g c3n4 heterostructure
3d porous structure
0 0 1
g c3n4 nanocomposite
s triazine based
nitride layers
photocatalyst possesses
the field of
mu l
band gap and high
b 0
beta bi2o3 g c3n4
photocatalytic performance and stability
s gcn
ag bivo4
iv collagen
this work demonstrates
g c3n4 bifeo3
on off
g c3n4 cu2o
for solar energy conversion
strong visible light
n content
relatively large
vickers hardness of
at higher temperatures
synergism between
atom dispersed
a new perspective
a promising alternative
@ g c3n4 nanocomposite
g c3n4 bi2moo6
drying method
separation of photoinduced electron hole
core structure
efficient electron
design and synthesis of
uniformly dispersed on
at high temperatures
enhanced photocatalytic performance under visible light
fe @ g c3n4
type ii p n
on account of
four electron
silver silver
exhibited significantly enhanced photocatalytic
modified g c3n4 photocatalysts
40 min
b doped g c3n4
heterojunction with enhanced visible light photocatalytic
crucial role in
classified into
broad range
fe3 + doped g c3n4
reactive 001
engineering of graphitic carbon nitride
pt modified
n c atomic ratio
for photocatalytic water splitting
g c3n4 mwcnt
g c3n4 tnts
c3n4 @ zno
for enhanced photocatalytic co2 reduction
polymeric g c3n4
photocatalytic performance under visible light
mos2 and g c3n4
a promising
graphene hybrid
efficiency and good
activation of co2
cuse pda g
prepared by impregnation
c3n4 hybrid photocatalyst
active catalytic
noble metal free photocatalysts
10 mm
consisted of
g c3n4 tio2 heterojunction
and electrons in
simulated visible
not clear
within 40 min
o2 and h +
successfully loaded onto
in living cells
range of 0.1
the as obtained
successfully applied for
employed as
showed significantly enhanced photocatalytic
primarily attributed to
3d hierarchical structure
times as large as
g c3n4 ppy
efficiency of photo generated carriers
photoelectrochemical aptasensor for
an inert atmosphere
carbon nitride based photocatalysts
wide range of applications
of novel and
graphitic carbon nitride based materials
the visible region
relatively small
improve photocatalytic activity
h 2 evolution performance
active metal
achieve high
approximately 15
to identify
direct z scheme charge transfer
4 cn
cds g c3n4 heterojunction
fe cu
photoelectrochemical biosensor for
go g c3n4
rhb degradation under visible light irradiation
rate reaches
modified g c3n4 nanosheets
90 wt
few decades
photocatalytic hydrogen peroxide
efficiency reached
covalently bound to
characterized by tem
photocatalyst possessed
ag2s g c3n4
different compositions
photocatalytic activation
water redox
under various conditions
photocatalyst for efficient
located within
photoelectron hole
g pan g c3n4
c tio2
boosting photocatalytic
from ammonia borane
after 5000
coordinated graphitic carbon nitride
greatly limited
a simple impregnation method
structure of carbon nitride films
several characterization techniques
carbon nitride matrix
ag3po4 and g c3n4
emission properties
electrochemiluminescence immunosensor for
5 10 nm
production of h 2
c3n4 @ sio2
rate of photogenerated electron hole pairs
m cn
without significant loss
effective suppression of
zinc doped
for enhanced visible light driven photocatalysis
bi2wo6 photocatalyst
ar +
2.7 times
